roi,network,layer,metric,f_stat,p_val,df_num,df_den,n
EVC,alexnettrained,ReLu2,AIC,21947.415254627947,0.0,2.0,1998.0,1000
EVC,alexnettrained,ReLu2,R2,30679.576555105577,0.0,2.0,1998.0,1000
EVC,alexnettrained,ReLu7,AIC,22079.430656680644,0.0,2.0,1998.0,1000
EVC,alexnettrained,ReLu7,R2,31270.08963689108,0.0,2.0,1998.0,1000
EVC,dcrandom,ReLu2,AIC,8936.889016685522,0.0,2.0,1998.0,1000
EVC,dcrandom,ReLu2,R2,11253.208509809316,0.0,2.0,1998.0,1000
EVC,dcrandom,ReLu7,AIC,12451.3044803915,0.0,2.0,1998.0,1000
EVC,dcrandom,ReLu7,R2,15386.098708479629,0.0,2.0,1998.0,1000
EVC,dctrained,ReLu2,AIC,20969.149733853515,0.0,2.0,1998.0,1000
EVC,dctrained,ReLu2,R2,29251.36541774847,0.0,2.0,1998.0,1000
EVC,dctrained,ReLu7,AIC,20863.678978080916,0.0,2.0,1998.0,1000
EVC,dctrained,ReLu7,R2,29798.155204788,0.0,2.0,1998.0,1000
IT,alexnettrained,ReLu2,AIC,18758.973617222226,0.0,2.0,1998.0,1000
IT,alexnettrained,ReLu2,R2,21145.002012461187,0.0,2.0,1998.0,1000
IT,alexnettrained,ReLu7,AIC,15701.789247052171,0.0,2.0,1998.0,1000
IT,alexnettrained,ReLu7,R2,17928.52111958998,0.0,2.0,1998.0,1000
IT,dcrandom,ReLu2,AIC,32791.10310469296,0.0,2.0,1998.0,1000
IT,dcrandom,ReLu2,R2,37619.6080231939,0.0,2.0,1998.0,1000
IT,dcrandom,ReLu7,AIC,35960.04345092056,0.0,2.0,1998.0,1000
IT,dcrandom,ReLu7,R2,40234.033483642466,0.0,2.0,1998.0,1000
IT,dctrained,ReLu2,AIC,20744.516944186154,0.0,2.0,1998.0,1000
IT,dctrained,ReLu2,R2,23888.47557210747,0.0,2.0,1998.0,1000
IT,dctrained,ReLu7,AIC,16808.20431418973,0.0,2.0,1998.0,1000
IT,dctrained,ReLu7,R2,19941.56076416406,0.0,2.0,1998.0,1000
