roi,network,layer,metric,comparison,t_stat,p_val,cohens_d,n
EVC,alexnettrained,ReLu2,AIC,total vs perceptual,148.2962157025867,0.0,4.689538100038012,1000
EVC,alexnettrained,ReLu2,AIC,total vs semantic,-6.996388415985379,4.806902681635164e-12,-0.22124522789731393,1000
EVC,alexnettrained,ReLu2,AIC,perceptual vs semantic,-148.0014633099972,0.0,-4.68021721097434,1000
EVC,alexnettrained,ReLu2,R2,total vs perceptual,-175.70811958404158,0.0,-5.556378612708089,1000
EVC,alexnettrained,ReLu2,R2,total vs semantic,-54.86744321302993,1.0161887999223006e-303,-1.7350608994312178,1000
EVC,alexnettrained,ReLu2,R2,perceptual vs semantic,174.6133757991969,0.0,5.521759774563865,1000
EVC,alexnettrained,ReLu7,AIC,total vs perceptual,148.67827311846696,0.0,4.701619816349411,1000
EVC,alexnettrained,ReLu7,AIC,total vs semantic,-1.6854931592334141,0.09220575413183235,-0.05329997363810454,1000
EVC,alexnettrained,ReLu7,AIC,perceptual vs semantic,-148.5144648226552,0.0,-4.696439743205452,1000
EVC,alexnettrained,ReLu7,R2,total vs perceptual,-177.3440952323022,0.0,-5.608112705158825,1000
EVC,alexnettrained,ReLu7,R2,total vs semantic,-39.32075715336612,4.380454728740392e-205,-1.2434315192699565,1000
EVC,alexnettrained,ReLu7,R2,perceptual vs semantic,176.34403906034973,0.0,5.57648815224404,1000
EVC,dcrandom,ReLu2,AIC,total vs perceptual,94.41539701577095,0.0,2.985677007589009,1000
EVC,dcrandom,ReLu2,AIC,total vs semantic,22.47565111615397,7.302239108951684e-91,0.7107424942235219,1000
EVC,dcrandom,ReLu2,AIC,perceptual vs semantic,-94.66173010682438,0.0,-2.993466743896993,1000
EVC,dcrandom,ReLu2,R2,total vs perceptual,-106.21155694743516,0.0,-3.3587043378657584,1000
EVC,dcrandom,ReLu2,R2,total vs semantic,-70.30354986775929,0.0,-2.2231934517734877,1000
EVC,dcrandom,ReLu2,R2,perceptual vs semantic,105.95487103328927,0.0,3.3505872165459234,1000
EVC,dcrandom,ReLu7,AIC,total vs perceptual,111.69499124733164,0.0,3.532105755741396,1000
EVC,dcrandom,ReLu7,AIC,total vs semantic,46.446342231227966,8.520380884783873e-252,1.4687623043434732,1000
EVC,dcrandom,ReLu7,AIC,perceptual vs semantic,-111.48701154207183,0.0,-3.525528859984282,1000
EVC,dcrandom,ReLu7,R2,total vs perceptual,-124.39372797669876,0.0,-3.9336750704577677,1000
