test,roi,network,layer,t_stat,p_val,cohens_d,delta_perc_mean,delta_perc_std,delta_sem_mean,delta_sem_std,n,p_bonferroni,significant_bonferroni
ΔR² Perceptual vs Semantic,EVC,dcrandom,ReLu2,105.95487103328924,0.0,4.7045046888141,0.1170774196499645,0.034840478508000566,0.0011076926442205022,0.0004979947464690492,1000,0.0,True
ΔR² Perceptual vs Semantic,EVC,dcrandom,ReLu7,123.69892552192056,0.0,5.492628991092063,0.16438680202990844,0.04176872393558993,0.002046368385351109,0.0008643608819496125,1000,0.0,True
ΔR² Perceptual vs Semantic,EVC,dctrained,ReLu2,170.3594857277098,0.0,7.622513225466701,0.2657086525529421,0.04890917669669289,0.0019345234486767948,0.0006753655826478236,1000,0.0,True
ΔR² Perceptual vs Semantic,EVC,dctrained,ReLu7,172.06481449650963,0.0,7.684251637399129,0.23602711078257893,0.043062527866206304,0.0018323793985049943,0.0012183978064559473,1000,0.0,True
ΔR² Perceptual vs Semantic,EVC,alexnettrained,ReLu2,174.61337579919692,0.0,7.832597330594064,0.2633698050787602,0.04737583695907042,0.0008347365809702463,0.00048085868833712777,1000,0.0,True
ΔR² Perceptual vs Semantic,EVC,alexnettrained,ReLu7,176.34403906034973,0.0,7.902727473184584,0.26091413058554563,0.04650114122167659,0.0009008531025753977,0.0007241271830472947,1000,0.0,True
ΔR² Perceptual vs Semantic,IT,dcrandom,ReLu2,-173.98432294473767,0.0,-7.2865284156271075,0.035701348079813094,0.009954996969084218,0.1722055333419749,0.024537823711640188,1000,0.0,True
ΔR² Perceptual vs Semantic,IT,dcrandom,ReLu7,-162.1836005280625,0.0,-6.412615123680668,0.061916454167044464,0.012763687259290387,0.18659631957234432,0.024338967295661863,1000,0.0,True
ΔR² Perceptual vs Semantic,IT,dctrained,ReLu2,-77.6321924287344,0.0,-3.3085490916401685,0.10508259806951428,0.02283535450928787,0.18305178871876154,0.024251729529115862,1000,0.0,True
ΔR² Perceptual vs Semantic,IT,dctrained,ReLu7,-73.22277246044705,0.0,-3.3471405388031155,0.07253601282184383,0.01734851232726711,0.13298805243136808,0.01872863608291962,1000,0.0,True
ΔR² Perceptual vs Semantic,IT,alexnettrained,ReLu2,-82.56789952827764,0.0,-3.6132715860128903,0.08114648875788834,0.02036585543914416,0.1580071230528342,0.02212017695445341,1000,0.0,True
ΔR² Perceptual vs Semantic,IT,alexnettrained,ReLu7,-49.93924425326694,8.60518134122059e-274,-2.090808551458893,0.08123915141138824,0.020123230682668837,0.11928197189901928,0.016016521355930406,1000,1.0326217609464708e-272,True
