,corr,p,layer,ROI,state,net
0,-0.15219497659890366,0.000999900009999,ReLu1,EVC,randomstate,alexnet
1,-0.018538554583435368,0.646035396460354,ReLu1,EVC,randomstate,alexnet
2,0.0116765163048473,0.7504249575042495,ReLu1,EVC,randomstate,alexnet
3,0.05470051220401852,0.1217878212178782,ReLu1,EVC,randomstate,alexnet
4,-0.003046509357869807,0.9025097490250975,ReLu1,EVC,randomstate,alexnet
5,-0.10480254771979876,0.011998800119988001,ReLu1,EVC,randomstate,alexnet
6,-0.029958769089203873,0.39486051394860516,ReLu1,EVC,randomstate,alexnet
7,-0.01884086512417508,0.6060393960603939,ReLu1,EVC,randomstate,alexnet
8,-0.07104788619515126,0.0745925407459254,ReLu1,EVC,randomstate,alexnet
9,-0.025881001757579597,0.5208479152084792,ReLu1,EVC,randomstate,alexnet
10,-0.045308335630916276,0.27787221277872215,ReLu1,EVC,randomstate,alexnet
11,-0.08303801543633241,0.062193780621937804,ReLu1,EVC,randomstate,alexnet
12,-0.12145565722003308,0.0033996600339966003,ReLu1,EVC,randomstate,alexnet
13,0.09655819221036611,0.0415958404159584,ReLu1,EVC,randomstate,alexnet
14,-0.12105927421495444,0.003999600039996,ReLu1,EVC,randomstate,alexnet
15,-0.03332437133278648,0.44525547445255476,ReLu1,IT,randomstate,alexnet
16,0.007177249533490767,0.8784121587841216,ReLu1,IT,randomstate,alexnet
17,-0.04670960435336312,0.22957704229577042,ReLu1,IT,randomstate,alexnet
18,0.076760733422725,0.053394660533946606,ReLu1,IT,randomstate,alexnet
19,-0.004449148067661391,0.9214078592140786,ReLu1,IT,randomstate,alexnet
20,0.036225776197725705,0.35706429357064295,ReLu1,IT,randomstate,alexnet
21,-0.002837129625348419,0.9348065193480652,ReLu1,IT,randomstate,alexnet
22,0.12968928116193193,0.0047995200479952005,ReLu1,IT,randomstate,alexnet
23,-0.015704735760836742,0.706929307069293,ReLu1,IT,randomstate,alexnet
24,0.03076249499811912,0.30926907309269075,ReLu1,IT,randomstate,alexnet
25,0.011815798351562727,0.7452254774522548,ReLu1,IT,randomstate,alexnet
26,0.05839171477320145,0.22037796220377961,ReLu1,IT,randomstate,alexnet
27,0.0005412591667851135,0.9799020097990201,ReLu1,IT,randomstate,alexnet
28,-0.06175686035433581,0.16428357164283572,ReLu1,IT,randomstate,alexnet
29,0.0008289565091809131,0.9813018698130187,ReLu1,IT,randomstate,alexnet
30,-0.11086816668864355,0.007699230076992301,ReLu1,EVC,pretrained,alexnet
31,-0.03943245990931825,0.28677132286771323,ReLu1,EVC,pretrained,alexnet
32,0.023757293042005523,0.45895410458954106,ReLu1,EVC,pretrained,alexnet
33,0.06007154758907915,0.06029397060293971,ReLu1,EVC,pretrained,alexnet
34,-0.010429599489908044,0.6507349265073493,ReLu1,EVC,pretrained,alexnet
35,-0.08386388947398765,0.028997100289971003,ReLu1,EVC,pretrained,alexnet
36,-0.00029877140676579664,0.9937006299370063,ReLu1,EVC,pretrained,alexnet
37,-0.006784748159222213,0.8407159284071593,ReLu1,EVC,pretrained,alexnet
38,-0.05413653408043309,0.13068693130686931,ReLu1,EVC,pretrained,alexnet
39,0.017357853823491972,0.6254374562543745,ReLu1,EVC,pretrained,alexnet
40,-0.05863625751423787,0.1262873712628737,ReLu1,EVC,pretrained,alexnet
41,-0.0750982537798807,0.061193880611938804,ReLu1,EVC,pretrained,alexnet
42,-0.09959956411569315,0.006799320067993201,ReLu1,EVC,pretrained,alexnet
43,0.10915956413852626,0.011998800119988001,ReLu1,EVC,pretrained,alexnet
44,-0.07987859628813346,0.035096490350964904,ReLu1,EVC,pretrained,alexnet
45,-0.005356764683552902,0.8971102889711029,ReLu1,IT,pretrained,alexnet
46,0.030580058350044324,0.46985301469853014,ReLu1,IT,pretrained,alexnet
47,-0.014699621712244433,0.6757324267573243,ReLu1,IT,pretrained,alexnet
48,0.11733633360561832,0.0014998500149985001,ReLu1,IT,pretrained,alexnet
49,0.04315768383089561,0.29447055294470553,ReLu1,IT,pretrained,alexnet
50,0.01836913281513562,0.6039396060393961,ReLu1,IT,pretrained,alexnet
51,0.02776633267516858,0.40485951404859516,ReLu1,IT,pretrained,alexnet
52,0.11592205000339642,0.0047995200479952005,ReLu1,IT,pretrained,alexnet
53,0.019536590364079846,0.6103389661033897,ReLu1,IT,pretrained,alexnet
54,0.06440413256682541,0.0183981601839816,ReLu1,IT,pretrained,alexnet
55,0.057487751456895914,0.0695930406959304,ReLu1,IT,pretrained,alexnet
56,0.040909534598174147,0.34296570342965704,ReLu1,IT,pretrained,alexnet
57,0.05194569598496667,0.004399560043995601,ReLu1,IT,pretrained,alexnet
58,-0.021647055868654744,0.5964403559644036,ReLu1,IT,pretrained,alexnet
59,0.03234117708171004,0.3100689931006899,ReLu1,IT,pretrained,alexnet
60,-0.11810969146172512,0.0057994200579942,ReLu2,EVC,randomstate,alexnet
61,-0.015416810087216818,0.6823317668233176,ReLu2,EVC,randomstate,alexnet
62,0.02463887989834694,0.45845415458454153,ReLu2,EVC,randomstate,alexnet
63,0.07465392121773609,0.024697530246975304,ReLu2,EVC,randomstate,alexnet
64,-0.005174099704253982,0.8244175582441756,ReLu2,EVC,randomstate,alexnet
65,-0.09384356228676004,0.0174982501749825,ReLu2,EVC,randomstate,alexnet
66,-0.00430392940911875,0.8949105089491051,ReLu2,EVC,randomstate,alexnet
67,-0.002259451628315583,0.9463053694630537,ReLu2,EVC,randomstate,alexnet
68,-0.05689911356110514,0.12158784121587841,ReLu2,EVC,randomstate,alexnet
69,-0.0019240330600779408,0.9582041795820418,ReLu2,EVC,randomstate,alexnet
70,-0.019383608443917,0.6202379762023797,ReLu2,EVC,randomstate,alexnet
71,-0.06697674046902657,0.10688931106889311,ReLu2,EVC,randomstate,alexnet
72,-0.09727309727309727,0.0117988201179882,ReLu2,EVC,randomstate,alexnet
73,0.09872368553995482,0.022797720227977204,ReLu2,EVC,randomstate,alexnet
74,-0.10061129976978504,0.013098690130986902,ReLu2,EVC,randomstate,alexnet
75,-0.01865363352039369,0.6419358064193581,ReLu2,IT,randomstate,alexnet
76,0.0016493505974571894,0.97000299970003,ReLu2,IT,randomstate,alexnet
77,-0.036182621596366336,0.3187681231876812,ReLu2,IT,randomstate,alexnet
78,0.10113646158526944,0.005499450054994501,ReLu2,IT,randomstate,alexnet
79,0.006295206014701106,0.8857114288571143,ReLu2,IT,randomstate,alexnet
80,0.03211992412553422,0.38776122387761225,ReLu2,IT,randomstate,alexnet
81,0.009134733117902824,0.7867213278672133,ReLu2,IT,randomstate,alexnet
82,0.14057063397876862,0.0008999100089991,ReLu2,IT,randomstate,alexnet
83,0.008396081607862814,0.8289171082891711,ReLu2,IT,randomstate,alexnet
84,0.043009268535215237,0.13058694130586943,ReLu2,IT,randomstate,alexnet
85,0.03684318382775606,0.25947405259474055,ReLu2,IT,randomstate,alexnet
86,0.06581613285680607,0.1314868513148685,ReLu2,IT,randomstate,alexnet
87,0.019524260477977166,0.28977102289771023,ReLu2,IT,randomstate,alexnet
88,-0.03743958498516703,0.3712628737126287,ReLu2,IT,randomstate,alexnet
89,0.009139756404833544,0.7817218278172183,ReLu2,IT,randomstate,alexnet
90,-0.025475942165984238,0.46965303469653036,ReLu2,EVC,pretrained,alexnet
91,-0.03882646884049409,0.2094790520947905,ReLu2,EVC,pretrained,alexnet
92,0.027174954804688324,0.31626837316268375,ReLu2,EVC,pretrained,alexnet
93,0.08743887145009165,0.0015998400159984002,ReLu2,EVC,pretrained,alexnet
94,0.0055508462240580056,0.776022397760224,ReLu2,EVC,pretrained,alexnet
95,-0.03083396267126982,0.33186681331866813,ReLu2,EVC,pretrained,alexnet
96,0.07613693251841919,0.0036996300369963003,ReLu2,EVC,pretrained,alexnet
97,0.013084634964017853,0.6357364263573643,ReLu2,EVC,pretrained,alexnet
98,0.06459113583938268,0.027897210278972105,ReLu2,EVC,pretrained,alexnet
99,0.09224592871156685,0.0017998200179982,ReLu2,EVC,pretrained,alexnet
100,-0.013037142069400135,0.682931706829317,ReLu2,EVC,pretrained,alexnet
101,-0.0008522462940415255,0.9794020597940206,ReLu2,EVC,pretrained,alexnet
102,-0.015539880617019466,0.6212378762123788,ReLu2,EVC,pretrained,alexnet
103,0.18526281780138723,9.999000099990002e-05,ReLu2,EVC,pretrained,alexnet
104,0.06774119340739257,0.0306969303069693,ReLu2,EVC,pretrained,alexnet
105,0.07423082345943496,0.018698130186981302,ReLu2,IT,pretrained,alexnet
106,0.005612038992123144,0.8691130886911309,ReLu2,IT,pretrained,alexnet
107,0.031142438155060875,0.29517048295170484,ReLu2,IT,pretrained,alexnet
108,0.18246233533751066,9.999000099990002e-05,ReLu2,IT,pretrained,alexnet
109,0.07657213183159887,0.0225977402259774,ReLu2,IT,pretrained,alexnet
110,0.017561296944186146,0.5556444355564444,ReLu2,IT,pretrained,alexnet
111,0.09249138477749978,0.0010998900109989002,ReLu2,IT,pretrained,alexnet
112,0.10486351215663979,0.0016998300169983002,ReLu2,IT,pretrained,alexnet
113,0.1145063964138298,0.0005999400059994001,ReLu2,IT,pretrained,alexnet
114,0.11208243213853311,9.999000099990002e-05,ReLu2,IT,pretrained,alexnet
115,0.10493315317999749,0.00019998000199980003,ReLu2,IT,pretrained,alexnet
116,0.03982085132155258,0.26217378262173785,ReLu2,IT,pretrained,alexnet
117,0.1381142466696464,9.999000099990002e-05,ReLu2,IT,pretrained,alexnet
118,0.07468543092666514,0.025897410258974102,ReLu2,IT,pretrained,alexnet
119,0.1310862115911204,9.999000099990002e-05,ReLu2,IT,pretrained,alexnet
120,-0.08443426087184853,0.03849615038496151,ReLu3,EVC,randomstate,alexnet
121,-0.009090436860422834,0.8003199680031997,ReLu3,EVC,randomstate,alexnet
122,0.028295147790238954,0.3638636136386361,ReLu3,EVC,randomstate,alexnet
123,0.08532863427674087,0.0053994600539946005,ReLu3,EVC,randomstate,alexnet
124,2.3403950472674174e-05,0.9993000699930007,ReLu3,EVC,randomstate,alexnet
125,-0.07800125696338879,0.039896010398960104,ReLu3,EVC,randomstate,alexnet
126,0.01994279161179582,0.5167483251674833,ReLu3,EVC,randomstate,alexnet
127,0.016407767599913463,0.6115388461153884,ReLu3,EVC,randomstate,alexnet
128,-0.04038825441349986,0.23877612238776122,ReLu3,EVC,randomstate,alexnet
129,0.015270449772553558,0.6563343665633437,ReLu3,EVC,randomstate,alexnet
130,0.009080390286561395,0.8072192780721927,ReLu3,EVC,randomstate,alexnet
131,-0.058309972194965184,0.13638636136386362,ReLu3,EVC,randomstate,alexnet
132,-0.07694454005814455,0.0316968303169683,ReLu3,EVC,randomstate,alexnet
133,0.09348508226488592,0.0231976802319768,ReLu3,EVC,randomstate,alexnet
134,-0.0817404090896377,0.0292970702929707,ReLu3,EVC,randomstate,alexnet
135,0.0029878282332700284,0.9401059894010599,ReLu3,IT,randomstate,alexnet
136,-0.0024462265696487294,0.9543045695430457,ReLu3,IT,randomstate,alexnet
137,-0.033694952909539166,0.3270672932706729,ReLu3,IT,randomstate,alexnet
138,0.10929679120422459,0.0021997800219978004,ReLu3,IT,randomstate,alexnet
139,0.007224742428108487,0.8565143485651435,ReLu3,IT,randomstate,alexnet
140,0.03365042832083505,0.33956604339566043,ReLu3,IT,randomstate,alexnet
141,0.019596184813576115,0.5438456154384561,ReLu3,IT,randomstate,alexnet
142,0.14359214106759688,0.00039996000399960006,ReLu3,IT,randomstate,alexnet
143,0.023844743900844883,0.5143485651434857,ReLu3,IT,randomstate,alexnet
144,0.049876786763182274,0.060693930606939304,ReLu3,IT,randomstate,alexnet
145,0.05689683024886391,0.06369363063693631,ReLu3,IT,randomstate,alexnet
146,0.0668118853252093,0.10438956104389562,ReLu3,IT,randomstate,alexnet
147,0.0217228618350638,0.2126787321267873,ReLu3,IT,randomstate,alexnet
148,-0.016292232000506893,0.6794320567943206,ReLu3,IT,randomstate,alexnet
149,0.016850730174713346,0.5875412458754125,ReLu3,IT,randomstate,alexnet
150,-0.0841056922403346,0.0382961703829617,ReLu3,EVC,pretrained,alexnet
151,-0.07578393244592403,0.0341965803419658,ReLu3,EVC,pretrained,alexnet
152,0.03202493833629878,0.30386961303869614,ReLu3,EVC,pretrained,alexnet
153,0.06997632776033898,0.0231976802319768,ReLu3,EVC,pretrained,alexnet
154,-0.003639257215694803,0.8639136086391361,ReLu3,EVC,pretrained,alexnet
155,-0.03740236699563487,0.3077692230776922,ReLu3,EVC,pretrained,alexnet
156,-0.0051807213097535675,0.8649135086491351,ReLu3,EVC,pretrained,alexnet
157,-0.03573646238442872,0.25917408259174085,ReLu3,EVC,pretrained,alexnet
158,-0.02673016558009545,0.43495650434956507,ReLu3,EVC,pretrained,alexnet
159,0.028994754660953817,0.40505949405059494,ReLu3,EVC,pretrained,alexnet
160,-0.06553345880134098,0.0673932606739326,ReLu3,EVC,pretrained,alexnet
161,-0.007588245736913338,0.8494150584941506,ReLu3,EVC,pretrained,alexnet
162,-0.07893718665107165,0.028697130286971302,ReLu3,EVC,pretrained,alexnet
163,0.22174717911043298,9.999000099990002e-05,ReLu3,EVC,pretrained,alexnet
164,0.03512476303500146,0.34226577342265774,ReLu3,EVC,pretrained,alexnet
165,0.01758846835985686,0.6495350464953504,ReLu3,IT,pretrained,alexnet
166,0.012286389004481571,0.7594240575942406,ReLu3,IT,pretrained,alexnet
167,0.018605912294551847,0.5906409359064093,ReLu3,IT,pretrained,alexnet
168,0.1900609701451216,9.999000099990002e-05,ReLu3,IT,pretrained,alexnet
169,0.057683887978418134,0.14708529147085292,ReLu3,IT,pretrained,alexnet
170,0.035706550994068526,0.30856914308569144,ReLu3,IT,pretrained,alexnet
171,0.06648925330552259,0.035096490350964904,ReLu3,IT,pretrained,alexnet
172,0.11239136428477242,0.004899510048995101,ReLu3,IT,pretrained,alexnet
173,0.06851021297024101,0.05549445055494451,ReLu3,IT,pretrained,alexnet
174,0.1357596950864833,9.999000099990002e-05,ReLu3,IT,pretrained,alexnet
175,0.10720208055411422,0.00029997000299970003,ReLu3,IT,pretrained,alexnet
176,0.041863730783786884,0.31226877312268775,ReLu3,IT,pretrained,alexnet
177,0.14513337683043154,9.999000099990002e-05,ReLu3,IT,pretrained,alexnet
178,0.02531451199052882,0.5176482351764824,ReLu3,IT,pretrained,alexnet
179,0.0966892543330131,0.0017998200179982,ReLu3,IT,pretrained,alexnet
180,-0.08540855020518415,0.034996500349965,ReLu4,EVC,randomstate,alexnet
181,-0.011883612725127451,0.7435256474352565,ReLu4,EVC,randomstate,alexnet
182,0.025227974456585957,0.42455754424557546,ReLu4,EVC,randomstate,alexnet
183,0.08653353814644138,0.0053994600539946005,ReLu4,EVC,randomstate,alexnet
184,-0.0006837378506382713,0.9766023397660234,ReLu4,EVC,randomstate,alexnet
185,-0.0750528158662801,0.0471952804719528,ReLu4,EVC,randomstate,alexnet
186,0.01523939672607274,0.6252374762523748,ReLu4,EVC,randomstate,alexnet
187,0.012076095947063688,0.7094290570942906,ReLu4,EVC,randomstate,alexnet
188,-0.041517808979239554,0.23497650234976503,ReLu4,EVC,randomstate,alexnet
189,0.008241729700355227,0.813018698130187,ReLu4,EVC,randomstate,alexnet
