,corr,p,layer,ROI,state,net
0,0.18371176379591525,9.999000099990002e-05,ReLu1,EVC,randomstate,dc
1,0.18408029039165083,9.999000099990002e-05,ReLu1,EVC,randomstate,dc
2,0.2090250199647114,9.999000099990002e-05,ReLu1,EVC,randomstate,dc
3,0.18026647395511347,9.999000099990002e-05,ReLu1,EVC,randomstate,dc
4,0.15548819784443907,9.999000099990002e-05,ReLu1,EVC,randomstate,dc
5,0.15104236057952747,0.00019998000199980003,ReLu1,EVC,randomstate,dc
6,0.18637775916878302,9.999000099990002e-05,ReLu1,EVC,randomstate,dc
7,0.17405700631507082,9.999000099990002e-05,ReLu1,EVC,randomstate,dc
8,0.15431274870265052,9.999000099990002e-05,ReLu1,EVC,randomstate,dc
9,0.1820689206383456,9.999000099990002e-05,ReLu1,EVC,randomstate,dc
10,0.16561377430942648,9.999000099990002e-05,ReLu1,IT,randomstate,dc
11,0.18829482812652518,9.999000099990002e-05,ReLu1,IT,randomstate,dc
12,0.1954269822432515,9.999000099990002e-05,ReLu1,IT,randomstate,dc
13,0.17372524104641918,9.999000099990002e-05,ReLu1,IT,randomstate,dc
14,0.16376657470626615,9.999000099990002e-05,ReLu1,IT,randomstate,dc
15,0.16539891462752612,9.999000099990002e-05,ReLu1,IT,randomstate,dc
16,0.18461458545610018,9.999000099990002e-05,ReLu1,IT,randomstate,dc
17,0.17171615460535516,9.999000099990002e-05,ReLu1,IT,randomstate,dc
18,0.15912460091983233,9.999000099990002e-05,ReLu1,IT,randomstate,dc
19,0.18751736030838415,9.999000099990002e-05,ReLu1,IT,randomstate,dc
20,0.09085835986256743,0.005499450054994501,ReLu1,EVC,100epochs,dc
21,0.09358417801615557,0.0036996300369963003,ReLu1,EVC,100epochs,dc
22,0.09428332822442219,0.0033996600339966003,ReLu1,EVC,100epochs,dc
23,0.09386708040284476,0.0040995900409959,ReLu1,EVC,100epochs,dc
24,0.1023669385520718,0.0007999200079992001,ReLu1,EVC,100epochs,dc
25,0.09202170744947744,0.003999600039996,ReLu1,EVC,100epochs,dc
26,0.10007380806819796,0.0017998200179982,ReLu1,EVC,100epochs,dc
27,0.09719249635098164,0.0021997800219978004,ReLu1,EVC,100epochs,dc
28,0.09996854737387696,0.0020997900209979003,ReLu1,EVC,100epochs,dc
29,0.0945557273748017,0.0033996600339966003,ReLu1,EVC,100epochs,dc
30,0.10806585757497399,9.999000099990002e-05,ReLu1,IT,100epochs,dc
31,0.10278044639895971,0.00019998000199980003,ReLu1,IT,100epochs,dc
32,0.10559759704219732,0.00029997000299970003,ReLu1,IT,100epochs,dc
33,0.105759483880101,0.00029997000299970003,ReLu1,IT,100epochs,dc
34,0.10911321290002916,9.999000099990002e-05,ReLu1,IT,100epochs,dc
35,0.10153124627177924,0.0004999500049995,ReLu1,IT,100epochs,dc
36,0.10978747500486631,0.00019998000199980003,ReLu1,IT,100epochs,dc
37,0.10620792640427983,0.00039996000399960006,ReLu1,IT,100epochs,dc
38,0.10521468557934195,0.0005999400059994001,ReLu1,IT,100epochs,dc
39,0.10327432683673918,0.00039996000399960006,ReLu1,IT,100epochs,dc
40,0.31052715400541486,9.999000099990002e-05,ReLu2,EVC,randomstate,dc
41,0.33094909869103417,9.999000099990002e-05,ReLu2,EVC,randomstate,dc
42,0.32480265046884965,9.999000099990002e-05,ReLu2,EVC,randomstate,dc
43,0.323211638499156,9.999000099990002e-05,ReLu2,EVC,randomstate,dc
44,0.3388847503854516,9.999000099990002e-05,ReLu2,EVC,randomstate,dc
45,0.3259086869185046,9.999000099990002e-05,ReLu2,EVC,randomstate,dc
46,0.3260084676634466,9.999000099990002e-05,ReLu2,EVC,randomstate,dc
47,0.32813080639167597,9.999000099990002e-05,ReLu2,EVC,randomstate,dc
48,0.3304301018186011,9.999000099990002e-05,ReLu2,EVC,randomstate,dc
49,0.33800179354176546,9.999000099990002e-05,ReLu2,EVC,randomstate,dc
50,0.24693416811228872,9.999000099990002e-05,ReLu2,IT,randomstate,dc
51,0.2657979805244882,9.999000099990002e-05,ReLu2,IT,randomstate,dc
52,0.2675029297750195,9.999000099990002e-05,ReLu2,IT,randomstate,dc
53,0.24458349815993574,9.999000099990002e-05,ReLu2,IT,randomstate,dc
54,0.246279085830278,9.999000099990002e-05,ReLu2,IT,randomstate,dc
55,0.26355919287195584,9.999000099990002e-05,ReLu2,IT,randomstate,dc
56,0.2556806239835693,9.999000099990002e-05,ReLu2,IT,randomstate,dc
57,0.24719332405166908,9.999000099990002e-05,ReLu2,IT,randomstate,dc
58,0.24931452112377778,9.999000099990002e-05,ReLu2,IT,randomstate,dc
59,0.2638393552839556,9.999000099990002e-05,ReLu2,IT,randomstate,dc
60,0.08152828938242683,0.0150984901509849,ReLu2,EVC,100epochs,dc
61,0.03957585191806791,0.26517348265173485,ReLu2,EVC,100epochs,dc
62,0.06175115207373272,0.08139186081391861,ReLu2,EVC,100epochs,dc
63,0.08293526638547676,0.017798220177982202,ReLu2,EVC,100epochs,dc
64,0.054915600217143,0.1126887311268873,ReLu2,EVC,100epochs,dc
65,0.08305057365365921,0.010498950104989501,ReLu2,EVC,100epochs,dc
66,0.05360589231556973,0.13588641135886412,ReLu2,EVC,100epochs,dc
67,0.0676044230041425,0.056694330566943306,ReLu2,EVC,100epochs,dc
68,0.07410729626718407,0.0331966803319668,ReLu2,EVC,100epochs,dc
69,0.05197263906941326,0.15428457154284572,ReLu2,EVC,100epochs,dc
70,0.10033638897594016,0.0010998900109989002,ReLu2,IT,100epochs,dc
71,0.08208929920009864,0.0082991700829917,ReLu2,IT,100epochs,dc
72,0.08972720697825888,0.0035996400359964,ReLu2,IT,100epochs,dc
73,0.10645246914531627,0.00039996000399960006,ReLu2,IT,100epochs,dc
74,0.08991192693857492,0.0025997400259974,ReLu2,IT,100epochs,dc
75,0.10566221477862432,9.999000099990002e-05,ReLu2,IT,100epochs,dc
76,0.0783971833060192,0.0143985601439856,ReLu2,IT,100epochs,dc
77,0.09000828271515508,0.003999600039996,ReLu2,IT,100epochs,dc
78,0.09667418447222094,0.0012998700129987,ReLu2,IT,100epochs,dc
79,0.08251011364615853,0.008099190080991902,ReLu2,IT,100epochs,dc
80,0.2533735652950239,9.999000099990002e-05,ReLu3,EVC,randomstate,dc
81,0.27765841763036714,9.999000099990002e-05,ReLu3,EVC,randomstate,dc
82,0.27185537956926453,9.999000099990002e-05,ReLu3,EVC,randomstate,dc
83,0.27507096819859794,9.999000099990002e-05,ReLu3,EVC,randomstate,dc
84,0.28742916737306634,9.999000099990002e-05,ReLu3,EVC,randomstate,dc
85,0.27292785132897335,9.999000099990002e-05,ReLu3,EVC,randomstate,dc
86,0.284040047013399,9.999000099990002e-05,ReLu3,EVC,randomstate,dc
87,0.2430255942177401,9.999000099990002e-05,ReLu3,EVC,randomstate,dc
88,0.2827755486942023,9.999000099990002e-05,ReLu3,EVC,randomstate,dc
89,0.29099524443142954,9.999000099990002e-05,ReLu3,EVC,randomstate,dc
90,0.23921748606180582,9.999000099990002e-05,ReLu3,IT,randomstate,dc
91,0.25400923942298415,9.999000099990002e-05,ReLu3,IT,randomstate,dc
92,0.25359755822588925,9.999000099990002e-05,ReLu3,IT,randomstate,dc
93,0.24445312103096115,9.999000099990002e-05,ReLu3,IT,randomstate,dc
94,0.2324378753551264,9.999000099990002e-05,ReLu3,IT,randomstate,dc
95,0.2377333331050021,9.999000099990002e-05,ReLu3,IT,randomstate,dc
96,0.2452666651825137,9.999000099990002e-05,ReLu3,IT,randomstate,dc
97,0.23650399779432038,9.999000099990002e-05,ReLu3,IT,randomstate,dc
98,0.24192069942420572,9.999000099990002e-05,ReLu3,IT,randomstate,dc
99,0.2595850879160837,9.999000099990002e-05,ReLu3,IT,randomstate,dc
100,0.11633053456335364,0.00019998000199980003,ReLu3,EVC,100epochs,dc
101,0.08362916497558853,0.013798620137986202,ReLu3,EVC,100epochs,dc
102,0.08844307217378745,0.007999200079992,ReLu3,EVC,100epochs,dc
103,0.109269848119778,0.0005999400059994001,ReLu3,EVC,100epochs,dc
104,0.06958496804219104,0.0425957404259574,ReLu3,EVC,100epochs,dc
105,0.06460689069384722,0.061693830616938304,ReLu3,EVC,100epochs,dc
106,0.12226440641587906,9.999000099990002e-05,ReLu3,EVC,100epochs,dc
107,0.11687145123330257,0.0004999500049995,ReLu3,EVC,100epochs,dc
108,0.1125098681900926,0.0008999100089991,ReLu3,EVC,100epochs,dc
109,0.12582180688772554,9.999000099990002e-05,ReLu3,EVC,100epochs,dc
110,0.13538614520381703,9.999000099990002e-05,ReLu3,IT,100epochs,dc
111,0.1323641814525405,9.999000099990002e-05,ReLu3,IT,100epochs,dc
112,0.1273351862412171,9.999000099990002e-05,ReLu3,IT,100epochs,dc
113,0.12617640527878957,9.999000099990002e-05,ReLu3,IT,100epochs,dc
114,0.1200201388139677,9.999000099990002e-05,ReLu3,IT,100epochs,dc
115,0.10593484226022795,0.00019998000199980003,ReLu3,IT,100epochs,dc
116,0.14333800841514727,9.999000099990002e-05,ReLu3,IT,100epochs,dc
117,0.14498587485964765,9.999000099990002e-05,ReLu3,IT,100epochs,dc
118,0.13426846386173175,9.999000099990002e-05,ReLu3,IT,100epochs,dc
119,0.14844440791144858,9.999000099990002e-05,ReLu3,IT,100epochs,dc
120,0.2577746496400073,9.999000099990002e-05,ReLu4,EVC,randomstate,dc
121,0.2992939427722036,9.999000099990002e-05,ReLu4,EVC,randomstate,dc
122,0.28820298189162147,9.999000099990002e-05,ReLu4,EVC,randomstate,dc
123,0.29833837659924617,9.999000099990002e-05,ReLu4,EVC,randomstate,dc
124,0.2925106787659382,9.999000099990002e-05,ReLu4,EVC,randomstate,dc
125,0.2839617294035246,9.999000099990002e-05,ReLu4,EVC,randomstate,dc
126,0.2703255603676361,9.999000099990002e-05,ReLu4,EVC,randomstate,dc
127,0.2560436706299259,9.999000099990002e-05,ReLu4,EVC,randomstate,dc
128,0.3084876995115424,9.999000099990002e-05,ReLu4,EVC,randomstate,dc
129,0.2941391370563881,9.999000099990002e-05,ReLu4,EVC,randomstate,dc
130,0.2454251270520555,9.999000099990002e-05,ReLu4,IT,randomstate,dc
131,0.26272213060431854,9.999000099990002e-05,ReLu4,IT,randomstate,dc
132,0.2650492824405868,9.999000099990002e-05,ReLu4,IT,randomstate,dc
133,0.24874848801917523,9.999000099990002e-05,ReLu4,IT,randomstate,dc
134,0.2525508878945064,9.999000099990002e-05,ReLu4,IT,randomstate,dc
135,0.24836123826306153,9.999000099990002e-05,ReLu4,IT,randomstate,dc
136,0.24338749920797606,9.999000099990002e-05,ReLu4,IT,randomstate,dc
137,0.23766346375042025,9.999000099990002e-05,ReLu4,IT,randomstate,dc
138,0.25239493766842996,9.999000099990002e-05,ReLu4,IT,randomstate,dc
139,0.2578518255937611,9.999000099990002e-05,ReLu4,IT,randomstate,dc
140,0.10963677639694469,0.0025997400259974,ReLu4,EVC,100epochs,dc
141,0.1044504609722001,0.0026997300269973002,ReLu4,EVC,100epochs,dc
142,0.08208222093215081,0.017198280171982803,ReLu4,EVC,100epochs,dc
143,0.07932466473840948,0.0226977302269773,ReLu4,EVC,100epochs,dc
