,proportion,type,ROI,net,layer
0,0.24849575137910926,perceptual,IT,dcrandom,ReLu2
1,0.06320173981999841,semantic,IT,dcrandom,ReLu2
2,0.38357578390945646,perceptual,IT,dcrandom,ReLu7
3,0.019472414660975768,semantic,IT,dcrandom,ReLu7
4,0.6132715866790623,perceptual,IT,dctrained,ReLu2
5,0.17922668244890705,semantic,IT,dctrained,ReLu2
6,0.04278928579340239,perceptual,IT,dctrained,ReLu7
7,0.17673118977696844,semantic,IT,dctrained,ReLu7
8,0.3391296775053264,perceptual,IT,alexnettrained,ReLu2
9,0.29775181666703004,semantic,IT,alexnettrained,ReLu2
10,0.14063580202146223,perceptual,IT,alexnettrained,ReLu7
11,0.32506694633715844,semantic,IT,alexnettrained,ReLu7
12,0.44252631092032296,perceptual,EVC,dcrandom,ReLu2
13,0.00019471963795691523,semantic,EVC,dcrandom,ReLu2
14,0.44272873472615615,perceptual,EVC,dcrandom,ReLu7
15,0.00029038992215289923,semantic,EVC,dcrandom,ReLu7
16,1.5724972327990807,perceptual,EVC,dctrained,ReLu2
17,0.010937654226539507,semantic,EVC,dctrained,ReLu2
18,1.035630371104108,perceptual,EVC,dctrained,ReLu7
19,0.017618879172038304,semantic,EVC,dctrained,ReLu7
20,1.669005215588643,perceptual,EVC,alexnettrained,ReLu2
21,0.04264545547717424,semantic,EVC,alexnettrained,ReLu2
22,1.2925497123239107,perceptual,EVC,alexnettrained,ReLu7
23,0.08831181299061014,semantic,EVC,alexnettrained,ReLu7
