,proportion,type,ROI,net,layer,sum
0,0.4564642754441012,perceptual,IT,dcrandom,ReLu2,1.1259897026057297
1,0.04118438730122556,semantic,IT,dcrandom,ReLu2,0.10159216942922633
2,-0.4113225649837057,perceptual,IT,dcrandom,ReLu2,-0.7014251691432614
3,0.03281668445088343,semantic,IT,dcrandom,ReLu2,0.05596203661375545
4,0.8311454288994957,perceptual,IT,dcrandom,ReLu2,1.4007974594917458
5,0.10159203998027254,semantic,IT,dcrandom,ReLu2,0.17122138504374562
6,0.10628298124087797,perceptual,IT,dcrandom,ReLu2,0.59830506683718
7,0.05546568207056933,semantic,IT,dcrandom,ReLu2,0.312236241691329
8,-0.5237498942942859,perceptual,IT,dcrandom,ReLu2,-1.1213492033291617
9,0.042627597680179596,semantic,IT,dcrandom,ReLu2,0.09126574194905171
10,0.6163250579726626,perceptual,IT,dcrandom,ReLu2,0.6712857618290451
11,0.1546633539293609,semantic,IT,dcrandom,ReLu2,0.16845543764036186
12,0.14892656111185215,perceptual,IT,dcrandom,ReLu2,0.5108070616896555
13,0.08598269778388833,semantic,IT,dcrandom,ReLu2,0.2949142777704432
14,0.09179602847596291,perceptual,IT,dcrandom,ReLu2,0.2268866389176875
15,0.0230664003942261,semantic,IT,dcrandom,ReLu2,0.05701181352029821
16,0.24141388371337782,perceptual,IT,dcrandom,ReLu2,1.1399683968148162
17,0.05170417123797311,semantic,IT,dcrandom,ReLu2,0.24414967477500027
18,0.36358414735311917,perceptual,IT,dcrandom,ReLu2,1.0662134857924759
19,0.1316104032289498,semantic,IT,dcrandom,ReLu2,0.3859485838831307
20,0.24497900584212584,perceptual,IT,dcrandom,ReLu2,1.4397144100300467
21,0.06462080046288059,semantic,IT,dcrandom,ReLu2,0.3797692675512009
22,0.594149817516297,perceptual,IT,dcrandom,ReLu2,0.4144323137769529
23,0.06925428080263411,semantic,IT,dcrandom,ReLu2,0.04830635470355457
24,0.2702908062074259,perceptual,IT,dcrandom,ReLu2,1.2642442272565635
25,0.09431679231794278,semantic,IT,dcrandom,ReLu2,0.44115248274411856
26,0.5675396444313119,perceptual,IT,dcrandom,ReLu2,2.4703591894154666
27,0.03582968389137652,semantic,IT,dcrandom,ReLu2,0.15595771982344
28,0.30443370002067005,perceptual,IT,dcrandom,ReLu2,2.1615342743315433
29,0.044216012461049135,semantic,IT,dcrandom,ReLu2,0.31394167729242567
30,0.41378049918656806,perceptual,IT,dcrandom,ReLu7,0.17920490480177056
31,0.014238563885770477,semantic,IT,dcrandom,ReLu7,0.006166604010289367
32,-0.47157338292596257,perceptual,IT,dcrandom,ReLu7,-0.07804557848659556
33,0.01019639021076174,semantic,IT,dcrandom,ReLu7,0.001687506549959158
34,0.4191956609940825,perceptual,IT,dcrandom,ReLu7,0.14690289000937928
35,0.02593500415328974,semantic,IT,dcrandom,ReLu7,0.00908866053977906
36,0.6869840615487004,perceptual,IT,dcrandom,ReLu7,0.29209156365936373
37,0.027112655284091316,semantic,IT,dcrandom,ReLu7,0.011527746159109597
38,-0.15067196351977938,perceptual,IT,dcrandom,ReLu7,-0.06183262993310118
39,-0.003609742473247288,semantic,IT,dcrandom,ReLu7,-0.0014813629907517367
40,0.4191323865087673,perceptual,IT,dcrandom,ReLu7,0.08665356999439872
41,0.03818601175624669,semantic,IT,dcrandom,ReLu7,0.007894771077199112
42,0.19825737492519377,perceptual,IT,dcrandom,ReLu7,0.11333215899472801
43,0.020528377189781156,semantic,IT,dcrandom,ReLu7,0.011734873965994291
44,0.7529952184113521,perceptual,IT,dcrandom,ReLu7,0.14379411381015572
45,0.01572552607279879,semantic,IT,dcrandom,ReLu7,0.003002991294695465
46,0.3314041902322407,perceptual,IT,dcrandom,ReLu7,0.24721972409539092
47,0.013940655527376776,semantic,IT,dcrandom,ReLu7,0.010399400836699768
48,0.6181858938555177,perceptual,IT,dcrandom,ReLu7,0.22394872022734394
49,0.05161182655444446,semantic,IT,dcrandom,ReLu7,0.018697292546382353
50,0.5103396902966962,perceptual,IT,dcrandom,ReLu7,0.35676264211222875
51,0.022688527934886505,semantic,IT,dcrandom,ReLu7,0.01586084587499233
52,0.916714026006389,perceptual,IT,dcrandom,ReLu7,0.09077365112655666
53,0.01639239045614733,semantic,IT,dcrandom,ReLu7,0.0016231857375183705
54,0.5009875009321195,perceptual,IT,dcrandom,ReLu7,0.27274425899402427
55,0.04070516547515144,semantic,IT,dcrandom,ReLu7,0.022160433492039514
