,proportion,type,ROI,net,layer,sum,bootstrap_iter
0,0.2267436021179708,perceptual,IT,dcrandom,ReLu2,0.903777626693461,0
1,0.06460945433442115,semantic,IT,dcrandom,ReLu2,0.25752691037316255,0
2,0.18616807724466164,perceptual,IT,dcrandom,ReLu2,0.42613149012786944,1
3,0.06747563102563471,semantic,IT,dcrandom,ReLu2,0.1544490957946794,1
4,0.21283647386092713,perceptual,IT,dcrandom,ReLu2,0.7241466524995285,2
5,0.06769864911571832,semantic,IT,dcrandom,ReLu2,0.2303352862720371,2
6,0.24883192810387902,perceptual,IT,dcrandom,ReLu2,0.9737637522503899,3
7,0.05636059497219913,semantic,IT,dcrandom,ReLu2,0.2205581287634508,3
8,0.25347096030156635,perceptual,IT,dcrandom,ReLu2,0.9285132949010773,4
9,0.07393852867235075,semantic,IT,dcrandom,ReLu2,0.27085117283661436,4
10,0.1958799835850727,perceptual,IT,dcrandom,ReLu2,0.5907377675431709,5
11,0.06451471420597242,semantic,IT,dcrandom,ReLu2,0.19456443453891611,5
12,0.3555886838710325,perceptual,IT,dcrandom,ReLu2,1.2154034354492644,6
13,0.059578517200265635,semantic,IT,dcrandom,ReLu2,0.20363959194617914,6
14,0.297264454002937,perceptual,IT,dcrandom,ReLu2,0.9486201673722177,7
15,0.07431151470657799,semantic,IT,dcrandom,ReLu2,0.23714036632829483,7
16,0.19710116706272648,perceptual,IT,dcrandom,ReLu2,0.6475933291187854,8
17,0.059630655522847194,semantic,IT,dcrandom,ReLu2,0.19592179642085333,8
18,0.22046167137797582,perceptual,IT,dcrandom,ReLu2,0.58716358461516,9
19,0.07239811942708627,semantic,IT,dcrandom,ReLu2,0.1928205436187723,9
20,0.28863732290425986,perceptual,IT,dcrandom,ReLu2,1.1685258805940657,10
21,0.06754196975092591,semantic,IT,dcrandom,ReLu2,0.2734384413149421,10
22,0.140052165390936,perceptual,IT,dcrandom,ReLu2,0.45942502220163906,11
23,0.0630874020620841,semantic,IT,dcrandom,ReLu2,0.2069509672493255,11
24,0.2921925354304848,perceptual,IT,dcrandom,ReLu2,0.8941725878028464,12
25,0.07424803894791078,semantic,IT,dcrandom,ReLu2,0.2272151170033391,12
26,0.26919750473312826,perceptual,IT,dcrandom,ReLu2,1.0127249926526343,13
27,0.050495378162621014,semantic,IT,dcrandom,ReLu2,0.18996435917720883,13
28,0.23593094657692115,perceptual,IT,dcrandom,ReLu2,0.7923541549136657,14
29,0.06929016020218338,semantic,IT,dcrandom,ReLu2,0.23270515007633208,14
30,0.1602394275890908,perceptual,IT,dcrandom,ReLu2,0.4662634312655215,15
31,0.05902686088153551,semantic,IT,dcrandom,ReLu2,0.17175589744387637,15
32,0.2760230925727952,perceptual,IT,dcrandom,ReLu2,0.9228381570986758,16
33,0.07865589215700837,semantic,IT,dcrandom,ReLu2,0.2629731370899071,16
34,0.3002475985798357,perceptual,IT,dcrandom,ReLu2,0.9382975781702437,17
35,0.08581722688186004,semantic,IT,dcrandom,ReLu2,0.2681856458782794,17
36,0.155107512140518,perceptual,IT,dcrandom,ReLu2,0.40218794977220973,18
37,0.05978526234213948,semantic,IT,dcrandom,ReLu2,0.15502093841976877,18
38,0.21566909999437628,perceptual,IT,dcrandom,ReLu2,0.6477249705167023,19
39,0.05696472502680621,semantic,IT,dcrandom,ReLu2,0.1710837335503428,19
40,0.18622708069134225,perceptual,IT,dcrandom,ReLu2,0.4951390935432687,20
41,0.07109418624019581,semantic,IT,dcrandom,ReLu2,0.18902466172205537,20
42,0.26901621917774415,perceptual,IT,dcrandom,ReLu2,1.015268668901301,21
43,0.06311522880379174,semantic,IT,dcrandom,ReLu2,0.23819721550948023,21
44,0.28573945088789715,perceptual,IT,dcrandom,ReLu2,0.7201675219906771,22
45,0.07205480600103503,semantic,IT,dcrandom,ReLu2,0.18160436342982525,22
46,0.35894863381684516,perceptual,IT,dcrandom,ReLu2,0.959263366006289,23
47,0.060848549087943765,semantic,IT,dcrandom,ReLu2,0.16261319452321202,23
48,0.2273562053036766,perceptual,IT,dcrandom,ReLu2,1.1202962385507544,24
49,0.060194729089392454,semantic,IT,dcrandom,ReLu2,0.296609140222739,24
50,0.2737322482788221,perceptual,IT,dcrandom,ReLu2,0.9877942033361626,25
51,0.058983148100571134,semantic,IT,dcrandom,ReLu2,0.21284745277405526,25
52,0.20062888594161046,perceptual,IT,dcrandom,ReLu2,0.5896920876827785,26
53,0.0766612597529062,semantic,IT,dcrandom,ReLu2,0.22532417550900222,26
